CustomerID,CustomerName,Gender,DOB,City,Segment,KYCStatus,RelationshipManager,OnboardDate
1,Alexander Hill,M,1962-09-11,Mumbai,SME,Verified,Megan Mcclain,2018-08-11
2,Allen Robinson,M,1978-03-19,New Delhi,Retail,Pending,Cristian Santos,2021-10-24
3,Kevin Pacheco,M,1950-10-10,Lucknow,Retail,Verified,Melissa Peterson,2019-02-02
4,George Davis,M,1955-09-26,Chennai,Retail,Verified,Lindsey Roman,2023-02-09
5,William Gray,M,1980-10-11,Jaipur,Retail,Verified,Lisa Hensley,2022-01-15
6,Amber Perez,F,1966-05-02,Mumbai,SME,Verified,David Garcia,2019-12-12
7,Holly Wood,F,1961-12-09,Hyderabad,Retail,Verified,Timothy Wong,2022-04-06
8,Monica Martin,F,1971-04-15,New Delhi,Retail,Verified,Margaret Hawkins DDS,2023-11-25
9,Crystal Johnson,F,1967-10-08,Lucknow,Retail,Verified,Daniel Hahn,2024-02-18
10,Mary Foster,F,2000-09-19,Jaipur,Retail,Re-KYC Due,Derek Wright,2021-12-05
11,Kevin Hurst,M,1972-05-20,Jaipur,Retail,Verified,Zachary Hicks,2018-08-21
12,Ashley Burton,F,1993-12-25,Lucknow,Retail,Verified,Arthur James,2024-12-21
13,Wesley Valencia,M,1951-01-18,Kolkata,HNI,Pending,Melanie Herrera,2019-11-14
14,Brian Graham,M,1975-05-16,Pune,Retail,Verified,Sherri Baker,2021-07-03
15,Susan Harrell,F,1966-10-31,Bengaluru,Retail,Verified,Lisa Hernandez,2023-05-03
16,Paula Moreno,F,1950-06-13,New Delhi,Retail,Verified,Alec Hickman,2024-02-25
17,Eric Brown,M,1998-09-16,Bengaluru,Retail,Verified,Angelica Tucker,2018-06-26
18,Ralph Anderson,M,1976-07-22,Hyderabad,SME,Verified,Deborah Brennan,2020-12-17
19,Joshua Blair,M,1961-06-24,Mumbai,SME,Verified,Zachary Santos,2021-01-24
20,Bryan Walker,M,1969-01-04,Chennai,HNI,Verified,Crystal Robinson,2018-07-01
21,Crystal Whitehead,F,1997-09-12,Chennai,Retail,Verified,David Caldwell,2019-07-02
22,Taylor Duncan,F,1976-05-31,Bengaluru,Retail,Verified,Rhonda Lee,2018-09-05
23,Jessica Owens,F,1990-07-08,Lucknow,Retail,Verified,Victoria Garcia,2020-10-26
24,Shannon Wright,F,1960-11-17,Chennai,HNI,Verified,Javier Ramirez,2019-10-01
25,Jessica Callahan,F,1980-09-07,New Delhi,SME,Pending,Zachary Huff,2024-10-12
26,Samuel Martin,M,1977-02-16,Bengaluru,SME,Verified,James Brown,2020-08-26
27,Derek Bowers MD,M,1973-09-06,Pune,Retail,Re-KYC Due,Whitney Peters,2023-01-11
28,Elizabeth Novak,F,1982-04-10,Jaipur,SME,Verified,Nicole Brown,2022-02-02
29,Samuel Moore,M,2003-04-06,Jaipur,SME,Verified,Cody Larson,2022-09-22
30,Barbara Zamora,F,1963-12-17,New Delhi,Retail,Verified,Lisa Barnes,2022-01-31
31,Timothy Harris,M,1989-10-22,Kolkata,HNI,Verified,James Powers,2020-02-06
